X,Y,Number,Letter,Angle,Distance,Type,Rotation
-2933.145751953125,-5389.0849609375,1,,-94.73669710987603,361.61679510738907,corners,258.0
-2128.3173828125,-4989.0,2,,87.52496645588667,460.4631638395281,corners,258.0
-277.1392822265625,-5038.25927734375,3,,-57.265293877331324,646.2957752425212,corners,258.0
1804.999267578125,2046.0009765625,4,,28.371071930925122,1405.817576265869,corners,258.0
315.0265808105469,2381.256591796875,5,,104.02049677747884,1564.787452512724,corners,258.0
-2521.29052734375,-865.9066162109375,6,,-64.14310760041364,2007.898392239741,corners,258.0
-3836.241455078125,-515.47900390625,7,,31.815250307899984,2165.7949070664918,corners,258.0
-4032.923828125,894.0545654296875,8,,153.3626856929108,2298.9115761686567,corners,258.0
-2892.247802734375,872.4701538085938,9,,-57.807551769945846,2426.787225194857,corners,258.0
-3601.822998046875,3344.001953125,10,,122.11255358977293,2714.6856382854203,corners,258.0
-1958.77734375,2384.0,11,,90.11965750240358,2924.98555438747,corners,258.0
-324.86907958984375,4534.8486328125,12,,29.248961638407096,3222.156845601732,corners,258.0
-1423.6868896484375,4985.06298828125,13,,88.62583920686448,3352.8549417830873,corners,258.0
-3734.2490234375,3988.57421875,14,,140.2252194567169,3612.922293010417,corners,258.0
-4634.7421875,206.1628875732422,15,,-176.34827329334786,4002.846383242523,corners,258.0
-4035.88720703125,-2712.59521484375,1,,14.704908238324245,70.34533658866539,lights,258.0
-3532.903076171875,-4549.24169921875,2,,17.505483166221676,253.65420790835836,lights,258.0
-1489.641357421875,-5179.994140625,3,,73.33341107487757,523.2802676686338,lights,258.0
681.8983154296875,-3233.05078125,4,,-14.888005723320301,857.1735077893518,lights,258.0
1677.0223388671875,668.5783081054688,5,,164.0622338536206,1259.1554264814617,lights,258.0
31.004989624023438,2267.134521484375,6,,121.37421471401603,1594.6782667577556,lights,258.0
-2068.947998046875,-421.631103515625,7,,-34.80062999759191,1945.1278967977314,lights,258.0
-3701.67919921875,-686.1339111328125,8,,-137.13869001705697,2139.4405939154176,lights,258.0
-3843.896484375,1050.8123779296875,9,,101.13335048809958,2323.2726841437407,lights,258.0
-2793.737060546875,973.2732543945312,10,,-30.218952527597796,2440.6650095677146,lights,258.0
-3723.443359375,2920.05322265625,11,,-175.54177503980864,2670.379917466171,lights,258.0
-1892.8067626953125,2385.91796875,12,,-87.14555065677143,2938.997235032958,lights,258.0
-272.93634033203125,4277.38720703125,13,,-1.5408722225857092,3192.296485817903,lights,258.0
-3105.7861328125,4526.56298828125,14,,121.57448609752461,3530.219230746421,lights,258.0
-4047.888671875,3505.094482421875,15,,151.9965949239664,3663.9348177923744,lights,258.0
-4648.40234375,469.8509521484375,16,,-177.27563477286273,3984.6979464459764,lights,258.0
-4028.5078125,-2741.369873046875,1,,14.344105115732384,70.34533658866539,sectors,258.0
-3531.89599609375,-4552.384765625,2,,17.809174469580416,253.65420790835836,sectors,258.0
-1467.4686279296875,-5186.48876953125,3,,73.6847112200521,523.2802676686338,sectors,258.0
675.9857788085938,-3255.386962890625,4,,-14.846830517618118,857.1735077893518,sectors,258.0
1656.0714111328125,588.7678833007812,5,,164.97096843804454,1259.1554264814617,sectors,258.0
152.55958557128906,2326.4462890625,6,,115.0552511369159,1579.6553527653211,sectors,258.0
-2059.540771484375,-408.07330322265625,7,,-34.69665461787248,1945.1278967977314,sectors,258.0
-3746.79443359375,-637.9541015625,8,,-142.37207757490324,2152.5877950970557,sectors,258.0
-4007.6279296875,940.359375,9,,145.77093034917337,2305.132818191921,sectors,258.0
-2784.119140625,990.5856323242188,10,,-29.139478815827303,2447.4698005022224,sectors,258.0
-3729.80078125,3022.052490234375,11,,-179.05205894312402,2679.2759340243815,sectors,258.0
-2034.69140625,2384.0,12,,-90.88400568561497,2924.98555438747,sectors,258.0
-272.49639892578125,4293.88525390625,13,,-1.692137282802285,3199.9845900374726,sectors,258.0
-3017.089599609375,4577.5322265625,14,,119.1162897162983,3514.1580950387106,sectors,258.0
-3985.645263671875,3621.525634765625,15,,150.9974416654615,3646.81611530943,sectors,258.0
-4645.33056640625,400.6051025390625,16,,-177.48073724283051,3984.6979464459764,sectors,258.0
